AudioFiles = C:\MCV\Audio-Clips\T_2500ms-varyFilled\F3_b31_w2_law.wav
fs =  48000
----------------
PTT_time,PTT_start,ptt_st_dly,P1_Int,P2_Int,m2e_latency,underRun,overRun
2.93069,2.95169,2.96,0.0625,1,0.37625,0,0
2.93129,2.95229,2.96,0.125,1,0.38525,0,0
2.93052,2.95152,2.96,0.125,1,0.36675,0,0
2.93083,2.95183,2.96,0.0625,1,0.37125,0,0
2.93117,2.95217,2.96,0.0625,1,0.39125,0,0
2.93083,2.95183,2.96,0,1,0.377625,0,0
2.93106,2.95206,2.96,0.0625,1,0.37525,0,0
2.93042,2.95142,2.96,0.0625,1,0.360125,0,0
2.93071,2.95171,2.96,0.0625,1,0.393375,0,0
2.93108,2.95208,2.96,0,1,0.36625,0,0
2.93073,2.95173,2.96,0.0625,1,0.375375,0,0
2.93083,2.95183,2.96,0,1,0.39125,0,0
2.93094,2.95194,2.96,0.0625,1,0.367375,0,0
2.93119,2.95219,2.96,0.0625,1,0.3755,0,0
2.93131,2.95231,2.96,0.125,1,0.362125,0,0
2.93098,2.95198,2.96,0.0625,1,0.37975,0,0
2.93154,2.95254,2.96,0,1,0.369125,0,0
2.93117,2.95217,2.96,0.0625,1,0.358375,0,0
2.93131,2.95231,2.96,0.0625,1,0.3905,0,0
2.93121,2.95221,2.96,0.0625,1,0.374625,0,0
2.93081,2.95181,2.96,0,1,0.39375,0,0
2.93094,2.95194,2.96,0,1,0.382125,0,0
2.93115,2.95215,2.96,0.125,1,0.38725,0,0
2.93129,2.95229,2.96,0.0625,1,0.39625,0,0
2.93067,2.95167,2.96,0.0625,1,0.381625,0,0
2.93123,2.95223,2.96,0.0625,1,0.3775,0,0
2.9306,2.9516,2.96,0.125,1,0.4015,0,0
2.9314,2.9524,2.96,0.0625,1,0.364125,0,0
2.93146,2.95246,2.96,0,1,0.372,0,0
2.9309,2.9519,2.96,0.0625,1,0.384125,0,0
2.91096,2.93196,2.94,0.0625,1,0.37975,0,0
2.9111,2.9321,2.94,0.125,1,0.369875,0,0
2.9111,2.9321,2.94,0.125,1,0.377375,0,0
2.91102,2.93202,2.94,0,1,0.386,0,0
2.91125,2.93225,2.94,0.0625,1,0.391375,0,0
2.91098,2.93198,2.94,0.0625,1,0.376625,0,0
2.91073,2.93173,2.94,0,1,0.365625,0,0
2.91069,2.93169,2.94,0.0625,1,0.399,0,0
2.91125,2.93225,2.94,0.125,1,0.392875,0,0
2.91117,2.93217,2.94,0.0625,1,0.397125,0,0
2.91127,2.93227,2.94,0.0625,1,0.375375,0,0
2.91065,2.93165,2.94,0.125,1,0.359,0,0
2.91131,2.93231,2.94,0.0625,1,0.369625,0,0
2.911,2.932,2.94,0.0625,1,0.393875,0,0
2.91096,2.93196,2.94,0.0625,1,0.397875,0,0
2.91075,2.93175,2.94,0.0625,1,0.37925,0,0
2.91096,2.93196,2.94,0.125,1,0.39025,0,0
2.91046,2.93146,2.94,0.0625,1,0.394875,0,0
2.91113,2.93213,2.94,0.0625,1,0.37675,0,0
2.91102,2.93202,2.94,0.0625,1,0.39225,0,0
2.91075,2.93175,2.94,0.0625,1,0.396125,0,0
2.91121,2.93221,2.94,0.0625,1,0.38075,0,0
2.91038,2.93138,2.94,0.0625,1,0.367625,0,0
2.91031,2.93131,2.94,0.125,1,0.378375,0,0
2.91083,2.93183,2.94,0.0625,1,0.381,0,0
2.9106,2.9316,2.94,0.0625,1,0.385625,0,0
2.91123,2.93223,2.94,0.0625,1,0.389875,0,0
2.91121,2.93221,2.94,0.125,1,0.387,0,0
2.91098,2.93198,2.94,0.0625,1,0.381125,0,0
2.91027,2.93127,2.94,0.125,1,0.389875,0,0
2.8911,2.9121,2.92,0.0625,1,0.379375,0,0
2.89144,2.91244,2.92,0.0625,1,0.390375,0,0
2.89129,2.91229,2.92,0.125,1,0.39925,0,0
2.89179,2.91279,2.92,0.0625,1,0.373625,0,0
2.89121,2.91221,2.92,0.0625,1,0.386875,0,0
2.89113,2.91213,2.92,0.0625,1,0.39825,0,0
2.89123,2.91223,2.92,0.0625,1,0.379125,0,0
2.89117,2.91217,2.92,0.0625,1,0.389625,0,0
2.89104,2.91204,2.92,0.125,1,0.369625,0,0
2.89119,2.91219,2.92,0.0625,1,0.3855,0,0
2.89183,2.91283,2.92,0.0625,1,0.366,0,0
2.89194,2.91294,2.92,0.125,1,0.379625,0,0
2.89202,2.91302,2.92,0.0625,1,0.399,0,0
2.89192,2.91292,2.92,0.0625,1,0.385625,0,0
2.89194,2.91294,2.92,0.0625,1,0.370875,0,0
2.89217,2.91317,2.92,0.125,1,0.398,0,0
2.89142,2.91242,2.92,0.0625,1,0.38875,0,0
2.89129,2.91229,2.92,0.0625,1,0.390875,0,0
2.89183,2.91283,2.92,0.0625,1,0.39925,0,0
2.89167,2.91267,2.92,0.0625,1,0.389125,0,0
2.89171,2.91271,2.92,0.0625,1,0.363375,0,0
2.89123,2.91223,2.92,0.0625,1,0.397875,0,0
2.89183,2.91283,2.92,0.0625,1,0.385125,0,0
2.89156,2.91256,2.92,0.0625,1,0.390625,0,0
2.89123,2.91223,2.92,0.0625,1,0.36625,0,0
2.89133,2.91233,2.92,0.125,1,0.397875,0,0
2.89129,2.91229,2.92,0.0625,1,0.388625,0,0
2.89088,2.91188,2.92,0.0625,1,0.369375,0,0
2.89133,2.91233,2.92,0.125,1,0.395,0,0
2.89113,2.91213,2.92,0.0625,1,0.371625,0,0
2.87081,2.89181,2.9,0.0625,1,0.393125,0,0
2.87146,2.89246,2.9,0.0625,1,0.362875,0,0
2.87119,2.89219,2.9,0.0625,1,0.36975,0,0
2.87142,2.89242,2.9,0.0625,1,0.386,0,0
2.87106,2.89206,2.9,0.0625,1,0.374125,0,0
2.8715,2.8925,2.9,0.0625,1,0.384875,0,0
2.87073,2.89173,2.9,0.0625,1,0.393125,0,0
2.87071,2.89171,2.9,0.125,1,0.374625,0,0
2.87054,2.89154,2.9,0.0625,1,0.381625,0,0
2.87113,2.89213,2.9,0.0625,1,0.36275,0,0
2.87058,2.89158,2.9,0.0625,1,0.38925,0,0
2.87106,2.89206,2.9,0.125,1,0.384,0,0
2.87113,2.89213,2.9,0.125,1,0.363125,0,0
2.87133,2.89233,2.9,0.0625,1,0.392875,0,0
2.87108,2.89208,2.9,0.0625,1,0.38375,0,0
2.87088,2.89188,2.9,0.0625,1,0.3595,0,0
2.87071,2.89171,2.9,0.0625,1,0.3905,0,0
2.87033,2.89133,2.9,0.0625,1,0.387625,0,0
2.87098,2.89198,2.9,0.125,1,0.3915,0,0
2.87135,2.89235,2.9,0.0625,1,0.398,0,0
2.87092,2.89192,2.9,0.0625,1,0.386875,0,0
2.8709,2.8919,2.9,0.0625,1,0.35925,0,0
2.87092,2.89192,2.9,0.125,1,0.394875,0,0
2.87048,2.89148,2.9,0.0625,1,0.388875,0,0
2.87079,2.89179,2.9,0.0625,1,0.363375,0,0
2.87133,2.89233,2.9,0.0625,1,0.392625,0,0
2.87129,2.89229,2.9,0.0625,1,0.37625,0,0
2.8706,2.8916,2.9,0.0625,1,0.394875,0,0
2.87135,2.89235,2.9,0.0625,1,0.378875,0,0
2.87144,2.89244,2.9,0.0625,1,0.38575,0,0
2.85198,2.87298,2.88,0.0625,1,0.37675,0,0
2.85152,2.87252,2.88,0.125,1,0.366125,0,0
2.8519,2.8729,2.88,0.125,1,0.36575,0,0
2.85194,2.87294,2.88,0.0625,1,0.3775,0,0
2.85165,2.87265,2.88,0.0625,1,0.390375,0,0
2.85198,2.87298,2.88,0.125,1,0.38825,0,0
2.85167,2.87267,2.88,0.0625,1,0.39675,0,0
2.85135,2.87235,2.88,0.125,1,0.383625,0,0
2.8514,2.8724,2.88,0.0625,1,0.375625,0,0
2.85188,2.87288,2.88,0.0625,1,0.3535,0,0
2.85217,2.87317,2.88,0.125,1,0.385875,0,0
2.85104,2.87204,2.88,0.0625,1,0.39375,0,0
2.85179,2.87279,2.88,0.125,1,0.357125,0,0
2.85129,2.87229,2.88,0.0625,1,0.386,0,0
2.8511,2.8721,2.88,0.125,1,0.401125,0,0
2.85148,2.87248,2.88,0.0625,1,0.376125,0,0
2.85148,2.87248,2.88,0.0625,1,0.38225,0,0
2.85194,2.87294,2.88,0.0625,1,0.36675,0,0
